Date_commande,ID_produit,Quantite
2023-12-25,P001,107
2023-12-28,P001,101
2023-12-30,P001,79
2024-01-01,P001,112
2024-01-04,P001,99
2024-01-06,P001,55
2024-01-08,P001,93
2024-01-11,P001,90
2024-01-13,P001,58
2024-01-15,P001,129
2024-01-18,P001,125
2024-01-20,P001,59
2024-01-22,P001,125
2024-01-25,P001,93
2024-01-27,P001,80
2024-01-29,P001,133
2024-02-01,P001,125
2024-02-03,P001,53
2024-02-05,P001,121
2024-02-08,P001,106
2024-02-10,P001,76
2024-02-12,P001,146
2024-02-15,P001,135
2024-02-17,P001,53
2024-02-19,P001,53
2024-02-22,P001,104
2024-02-24,P001,80
2024-02-26,P001,142
2024-02-29,P001,127
2024-03-02,P001,53
2024-03-04,P001,122
2024-03-07,P001,127
2024-03-09,P001,84
2024-03-11,P001,132
2024-03-14,P001,119
2024-03-16,P001,70
2024-03-18,P001,127
2024-03-21,P001,121
2024-03-23,P001,71
2024-03-25,P001,131
2024-03-28,P001,111
2024-03-30,P001,83
2024-04-01,P001,138
2024-04-04,P001,164
2024-04-06,P001,87
2024-04-08,P001,191
2024-04-10,P001,118
2024-04-13,P001,84
2024-04-15,P001,151
2024-04-17,P001,159
2024-04-20,P001,73
2024-04-22,P001,170
2024-04-24,P001,145
2024-04-27,P001,98
2024-04-29,P001,156
2024-05-01,P001,150
2024-05-04,P001,118
2024-05-06,P001,151
2024-05-08,P001,152
2024-05-11,P001,86
2024-05-13,P001,168
2024-05-15,P001,163
2024-05-18,P001,82
2024-05-20,P001,176
2024-05-22,P001,155
2024-05-25,P001,104
2024-05-27,P001,135
2024-05-29,P001,171
2024-06-01,P001,102
2024-06-03,P001,167
2024-06-05,P001,168
2024-06-08,P001,86
2024-06-10,P001,174
2024-06-12,P001,201
2024-06-15,P001,112
2024-06-17,P001,192
2024-06-19,P001,200
2024-06-22,P001,86
2024-06-24,P001,213
2024-06-26,P001,177
2024-06-29,P001,95
2024-07-01,P001,181
2024-07-03,P001,137
2024-07-06,P001,114
2024-07-08,P001,152
2024-07-10,P001,157
2024-07-13,P001,98
2024-07-15,P001,162
2024-07-17,P001,164
2024-07-20,P001,113
2024-07-22,P001,175
2024-07-24,P001,203
2024-07-27,P001,102
2024-07-29,P001,160
2024-07-31,P001,176
2024-08-03,P001,95
2024-08-05,P001,141
2024-08-07,P001,181
2024-08-10,P001,110
2024-08-12,P001,154
2024-08-14,P001,268
2024-08-17,P001,69
2024-08-19,P001,203
2024-08-21,P001,173
2024-08-24,P001,75
2024-08-26,P001,181
2024-08-28,P001,190
2024-08-31,P001,85
2024-09-02,P001,171
2024-09-04,P001,170
2024-09-07,P001,78
2024-09-09,P001,143
2024-09-11,P001,164
2024-09-14,P001,107
2024-09-16,P001,126
2024-09-18,P001,158
2024-09-21,P001,71
2024-09-23,P001,156
2024-09-25,P001,133
2024-09-28,P001,87
2024-09-30,P001,152
2024-10-02,P001,159
2024-10-05,P001,70
2024-10-07,P001,159
2024-10-09,P001,165
2024-10-12,P001,85
2024-10-14,P001,127
2024-10-16,P001,150
2024-10-19,P001,56
2024-10-21,P001,149
2024-10-23,P001,121
2024-10-26,P001,79
2024-10-28,P001,223
2024-10-30,P001,140
2024-11-02,P001,58
2024-11-04,P001,139
2024-11-06,P001,141
2024-11-09,P001,81
2024-11-11,P001,109
2024-11-13,P001,146
2024-11-16,P001,82
2024-11-18,P001,111
2024-11-20,P001,144
2024-11-23,P001,56
2024-11-25,P001,129
2024-11-27,P001,86
2024-11-29,P001,100
2024-12-02,P001,148
2024-12-04,P001,100
2024-12-06,P001,160
2024-12-09,P001,126
2024-12-11,P001,126
2024-12-13,P001,114
2024-12-16,P001,150
2024-12-18,P001,146
2024-12-20,P001,127
2024-12-23,P001,138
2024-12-25,P001,165
2024-12-27,P001,117
2024-12-30,P001,126
2025-01-01,P001,88
2025-01-03,P001,112
2025-01-06,P001,114
2025-01-08,P001,126
2025-01-10,P001,123
2025-01-13,P001,127
2025-01-15,P001,132
2025-01-17,P001,86
2025-01-20,P001,114
2025-01-22,P001,140
2025-01-24,P001,108
2025-01-27,P001,136
2025-01-29,P001,129
2025-01-31,P001,133
2025-02-03,P001,105
2025-02-05,P001,107
2025-02-07,P001,108
2025-02-10,P001,109
2025-02-12,P001,126
2025-02-14,P001,107
2025-02-17,P001,150
2025-02-19,P001,147
2025-02-21,P001,122
2025-02-24,P001,152
2025-02-26,P001,147
2025-02-28,P001,106
2025-03-03,P001,137
2025-03-05,P001,120
2025-03-07,P001,121
2025-03-10,P001,127
2025-03-12,P001,125
2025-03-14,P001,104
2025-03-17,P001,154
2025-03-19,P001,180
2025-03-21,P001,139
2025-03-24,P001,168
2025-03-26,P001,115
2025-03-28,P001,127
2025-03-31,P001,128
2025-04-02,P001,144
2025-04-04,P001,148
2025-04-07,P001,160
2025-04-09,P001,182
2025-04-11,P001,144
2025-04-14,P001,172
2025-04-16,P001,120
2025-04-18,P001,148
2025-04-21,P001,198
2025-04-23,P001,161
2025-04-25,P001,150
2025-04-28,P001,152
2025-04-30,P001,201
2025-05-02,P001,127
2025-05-05,P001,163
2025-05-07,P001,169
2025-05-09,P001,143
2025-05-12,P001,165
2025-05-14,P001,180
2025-05-16,P001,168
2025-05-19,P001,163
2025-05-21,P001,174
2025-05-23,P001,171
2025-05-26,P001,211
2025-05-28,P001,198
2025-05-30,P001,77
2025-06-02,P001,188
2025-06-04,P001,176
2025-06-06,P001,185
2025-06-09,P001,154
2025-06-11,P001,175
2025-06-13,P001,156
2025-06-16,P001,197
2025-06-18,P001,181
2025-06-20,P001,176
2025-06-23,P001,201
2025-06-25,P001,195
2025-06-27,P001,171
2025-06-30,P001,195
2025-07-02,P001,197
2025-07-04,P001,191
2025-07-07,P001,198
2025-07-09,P001,181
2025-07-11,P001,188
2025-07-14,P001,203
2025-07-16,P001,165
2025-07-18,P001,173
2025-07-20,P001,118
2025-07-23,P001,203
2025-07-25,P001,166
2025-07-27,P001,96
2025-07-30,P001,188
2025-08-01,P001,196
2025-08-03,P001,90
2025-08-06,P001,202
2025-08-08,P001,168
2025-08-10,P001,101
2025-08-13,P001,184
2025-08-15,P001,144
2025-08-17,P001,108
2025-08-20,P001,200
2025-08-22,P001,162
2025-08-24,P001,90
2025-08-27,P001,160
2025-08-29,P001,171
2025-08-31,P001,67
2025-09-03,P001,176
2025-09-05,P001,168
2025-09-07,P001,102
2025-09-10,P001,165
2025-09-12,P001,148
2025-09-14,P001,84
2025-09-17,P001,271
2025-09-19,P001,170
2025-09-21,P001,92
2025-09-24,P001,172
2025-09-26,P001,168
2025-09-28,P001,62
2025-10-01,P001,186
2025-10-03,P001,115
2025-10-05,P001,105
2025-10-08,P001,169
2025-10-10,P001,178
2025-10-12,P001,84
2025-10-15,P001,152
2025-10-17,P001,128
2025-10-19,P001,86
2025-10-22,P001,134
2025-10-24,P001,122
2025-10-26,P001,107
2025-10-29,P001,130
2025-10-31,P001,123
2025-11-02,P001,73
2025-11-05,P001,51
2025-11-07,P001,124
2025-11-09,P001,90
2025-11-12,P001,166
2025-11-14,P001,121
2025-11-16,P001,77
2025-11-19,P001,153
2025-11-21,P001,132
2025-11-23,P001,65
2025-11-26,P001,150
2025-11-28,P001,133
2025-11-30,P001,115
2025-12-03,P001,175
2025-12-05,P001,116
2025-12-07,P001,54
2025-12-10,P001,142
2025-12-12,P001,110
2025-12-14,P001,70
2023-12-25,P002,265
2023-12-28,P002,177
2023-12-30,P002,143
2024-01-01,P002,174
2024-01-04,P002,169
2024-01-06,P002,99
2024-01-08,P002,168
2024-01-11,P002,211
2024-01-13,P002,89
2024-01-15,P002,207
2024-01-18,P002,140
2024-01-20,P002,112
2024-01-22,P002,215
2024-01-25,P002,188
2024-01-27,P002,144
2024-01-29,P002,233
2024-02-01,P002,204
2024-02-03,P002,109
2024-02-05,P002,187
2024-02-08,P002,156
2024-02-10,P002,112
2024-02-12,P002,216
2024-02-15,P002,206
2024-02-17,P002,79
2024-02-19,P002,174
2024-02-22,P002,165
2024-02-24,P002,114
2024-02-26,P002,211
2024-02-29,P002,219
2024-03-02,P002,91
2024-03-04,P002,174
2024-03-07,P002,195
2024-03-09,P002,212
2024-03-11,P002,187
2024-03-14,P002,209
2024-03-16,P002,96
2024-03-18,P002,181
2024-03-21,P002,234
2024-03-23,P002,106
2024-03-25,P002,248
2024-03-28,P002,189
2024-03-30,P002,107
2024-04-01,P002,202
2024-04-04,P002,218
2024-04-06,P002,191
2024-04-08,P002,214
2024-04-10,P002,217
2024-04-13,P002,153
2024-04-15,P002,238
2024-04-17,P002,251
2024-04-20,P002,135
2024-04-22,P002,234
2024-04-24,P002,266
2024-04-27,P002,118
2024-04-29,P002,217
2024-05-01,P002,293
2024-05-04,P002,158
2024-05-06,P002,233
2024-05-08,P002,206
2024-05-11,P002,141
2024-05-13,P002,283
2024-05-15,P002,293
2024-05-18,P002,114
2024-05-20,P002,201
2024-05-22,P002,263
